date,MSCI_World,Global_Bonds,Gold,Bitcoin,Ethereum,XRP,BNB,Solana
2019-04-01,70.48751286078847,39.22885676817613,108.27836168291708,3704.7746133479027,126.36513688913313,0.27864505307189497,15.99317872382955,
2019-04-02,70.62501726053914,39.3134558588706,108.85495253537906,4354.802966025514,146.31945901587375,0.31367769270261636,17.66040237641188,
2019-04-03,70.91203274063427,39.27765805385002,108.71259312948038,4438.67077825613,144.11005361083087,0.3054609450427804,16.73804662331353,
2019-04-04,70.70298946698995,39.134190919087935,108.57166320865959,4377.008056176053,140.52924922824172,0.2956472832783497,17.020338593213825,
2019-04-05,71.10255838999896,39.22886356478082,108.65978219247063,4486.675372398119,147.4406190207475,0.322294093897613,17.32914711767243,
2019-04-06,,,,4507.285125589656,147.82576332136836,0.3157039475039551,17.028201736063252,
2019-04-07,,,,4631.177218751997,155.47278404084216,0.3205597190934038,17.023429059424625,
2019-04-08,71.22097016943354,39.257938800349145,109.19316358281301,4714.772831770821,160.66468394772227,0.31929394989510346,16.14474308716161,
2019-04-09,70.5807300751171,39.164502112238274,109.40399699658674,4623.980971322487,156.45666707968894,0.3104550499386291,16.37733206673169,
2019-04-10,70.76496187874415,39.17007857020427,109.63905275609379,4725.806013487921,157.39588252347266,0.3148956453104401,16.19652665948609,
2019-04-11,70.67391531864448,39.14399264055892,108.14525297233,4491.187595341529,146.7627554941564,0.2935165962711855,15.696784599976278,
2019-04-12,71.2342414758096,39.10732151165468,108.18991626796158,4519.714329299438,146.29245077785205,0.2898083145559513,16.37037011159508,
2019-04-13,,,,4525.972669871128,146.0944385602472,0.28952857258549863,16.623928868789108,
2019-04-14,,,,4589.144055205238,149.04731794408443,0.29199554212511797,17.309693363631215,
2019-04-15,70.93950925451801,38.891020152334065,107.56249467488766,4482.161405947761,142.92205047826891,0.28386679184019853,17.162609739493394,
2019-04-16,70.99485293086418,38.905472706065986,106.59953026706741,4631.218828206879,148.2746662777709,0.28944721652182726,17.538771947750885,
2019-04-17,71.08102853769783,38.903916795171554,106.58371367188482,4653.899737666225,147.94007457403245,0.29725496552815456,17.371115988627768,
2019-04-18,71.11397079539917,38.96734800605188,106.5491149580562,4690.024911979095,153.8566935458512,0.2983631952638496,19.508019963856714,
2019-04-19,,,,4720.39324879724,154.6005112567082,0.29539278536873015,21.78300044921161,
2019-04-20,,,,4750.718869709748,154.63863122230754,0.29234365812726076,22.25670077520301,
